,Away team,Home team,Year,week,Awayscore,Homescore,Nethomepoints,Spread,Aappg,Aappga,Happg,Happga,DAappg,DAappga,DHappg,DHappga,OsbournM,WuM
110,17,20,1999,1,30,28,-2,-7,0,0,0,0,21.16764637,20.76009405,23.50066543,20.12258626,2.873105501,6.642938604
111,19,28,1999,1,17,13,-4,-5.5,0,0,0,0,19.69105203,20.55771062,20.48841298,20.41604223,2.873105501,3.73031042
112,21,11,1999,1,24,28,4,-8.5,0,0,0,0,19.72058392,21.03331167,23.26441034,20.65890233,2.873105501,7.437647268
113,26,13,1999,1,3,41,38,-5.5,0,0,0,0,25.3611743,20.74997488,22.79190015,20.85116659,2.873105501,0.765438523
114,1,19,2000,1,16,21,5,-6.5,0,0,0,0,18.45071279,21.29641012,20.04543467,21.05355001,2.873105501,4.440498304
115,3,23,2000,1,16,0,-16,2,0,0,0,0,20.78373184,20.23389714,20.57700864,20.66902151,2.873105501,2.127767593
116,5,30,2000,1,17,20,3,-10.5,0,0,0,0,23.64832487,21.28629095,24.29802638,21.24581426,2.873105501,4.470126348
117,6,16,2000,1,27,30,3,-4.5,0,0,0,0,19.24807373,20.8815241,22.99862336,20.82080907,2.873105501,7.216345084
118,9,27,2000,1,36,41,5,-6,0,0,0,0,20.48841298,20.64878316,26.74917298,19.87972615,2.873105501,11.58100461
119,10,18,2000,1,14,10,-4,0,0,0,0,0,20.72466807,20.69937902,18.89369109,21.82260702,2.873105501,-0.783067983
120,12,14,2000,1,27,14,-13,3.5,0,0,0,0,23.70738864,20.80057073,22.73283637,20.68925985,2.873105501,2.559577027
121,13,31,2000,1,27,7,-20,10,0,0,0,0,22.91002769,19.62674687,17.62381996,21.85296454,2.873105501,-5.720261582
122,20,11,2000,1,20,16,-4,-2.5,0,0,0,0,20.31122166,20.55771062,21.75828411,20.8815241,2.873105501,4.185718807
123,22,8,2000,1,41,14,-27,-6,0,0,0,0,19.24807373,21.04343084,21.61062468,20.22377797,2.873105501,6.327192369
124,24,21,2000,1,6,9,3,-6.5,0,0,0,0,19.15947807,20.62854482,22.73283637,20.76009405,2.873105501,6.767466222
125,25,15,2000,1,0,23,23,-2,0,0,0,0,21.19717826,20.44639974,20.84279562,20.83092825,2.873105501,2.096413505
126,26,2,2000,1,28,36,8,-7,0,0,0,0,19.92730713,22.01487128,19.63198826,21.27617178,2.873105501,2.974952445
127,28,17,2000,1,21,16,-5,3,0,0,0,0,19.18900996,19.80889195,20.04543467,20.30473134,2.873105501,2.992777742
128,29,4,2000,1,13,16,3,-1,0,0,0,0,22.79190015,20.70949819,20.6656043,19.74817693,2.873105501,1.840974253
129,2,26,2001,1,13,16,3,-3.5,0,0,0,0,18.65743599,21.61010443,22.6737726,21.70117697,2.873105501,7.144180382
130,5,16,2001,1,24,13,-11,-10,0,0,0,0,20.37028543,20.56782979,22.93955958,21.18509924,2.873105501,5.279746218
131,6,3,2001,1,6,17,11,-10,0,0,0,0,17.59428807,21.0231925,21.04951883,19.10054997,2.873105501,8.526124475
132,10,11,2001,1,6,28,22,-5.5,0,0,0,0,20.28168977,20.53747228,21.64015656,20.69937902,2.873105501,4.255096843
133,12,20,2001,1,45,24,-21,2,0,0,0,0,23.88457996,20.72973653,20.69513618,20.67914068,2.873105501,-0.254999537
134,15,29,2001,1,31,23,-8,-6.5,0,0,0,0,20.75419996,19.71781941,21.43343335,19.36364842,2.873105501,4.20231512
135,17,7,2001,1,17,23,6,1,0,0,0,0,19.36620128,20.85116659,16.67879958,21.06366918,2.873105501,-1.204277076
136,18,4,2001,1,24,6,-18,1,0,0,0,0,21.66968845,20.51723394,20.51794486,20.97259664,2.873105501,1.132242979
137,19,9,2001,1,20,31,11,-7,0,0,0,0,20.90185939,19.92020284,25.53836562,21.1648609,2.873105501,7.373680322
138,21,14,2001,1,27,24,-3,3,0,0,0,0,25.3611743,20.45651891,21.69922034,21.01307333,2.873105501,-1.117582422
139,23,13,2001,1,3,21,18,-3,0,0,0,0,20.69513618,20.01127538,22.05360298,20.7398557,2.873105501,3.761637264
140,25,31,2001,1,9,6,-3,-4,0,0,0,0,20.6656043,21.52915106,15.97003429,21.67081946,2.873105501,-3.358257468
141,27,22,2001,1,20,17,-3,3,0,0,0,0,27.1626194,22.19701636,21.58109279,19.91008366,2.873105501,0.101103741
142,28,8,2001,1,10,6,-4,9,0,0,0,0,22.6737726,20.15294377,19.89777524,21.08390753,2.873105501,-1.158160215
